2017-12-17 12:38:58,842 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=2
2017-12-17 12:38:58,842 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=11
2017-12-17 12:38:58,843 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=23
2017-12-17 12:38:58,843 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2017-12-17 12:38:58,844 [main] INFO  marytts.PStream Global variance optimization
2017-12-17 12:38:58,844 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=18
2017-12-17 12:38:58,844 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2017-12-17 12:38:58,845 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=9
2017-12-17 12:38:58,846 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=83
2017-12-17 12:38:58,846 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=5
2017-12-17 12:38:58,962 [main] INFO  marytts.R 1 Request processed in 137 ms.
2017-12-17 12:38:58,962 [main] INFO  marytts.R 1    TextToMaryXML took 1 ms
2017-12-17 12:38:58,962 [main] INFO  marytts.R 1    JTokeniser took 0 ms
2017-12-17 12:38:58,962 [main] INFO  marytts.R 1    Preprocess took 1 ms
2017-12-17 12:38:58,962 [main] INFO  marytts.R 1    OpenNLPPosTagger took 0 ms
2017-12-17 12:38:58,962 [main] INFO  marytts.R 1    JPhonemiser took 0 ms
2017-12-17 12:38:58,962 [main] INFO  marytts.R 1    Prosody took 1 ms
2017-12-17 12:38:58,962 [main] INFO  marytts.R 1    PronunciationModel took 0 ms
2017-12-17 12:38:58,962 [main] INFO  marytts.R 1    AcousticModeller took 2 ms
2017-12-17 12:38:58,962 [main] INFO  marytts.R 1    Synthesis took 132 ms
2017-12-17 12:39:00,251 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", effect "Stadium(amount:150.0)", audio "WAVE")
2017-12-17 12:39:00,251 [main] INFO  marytts.R 1 Handling request using the following modules:
2017-12-17 12:39:00,251 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2017-12-17 12:39:00,251 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2017-12-17 12:39:00,251 [main] INFO  marytts.R 1 Handling request using the following modules:
2017-12-17 12:39:00,251 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2017-12-17 12:39:00,251 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2017-12-17 12:39:00,251 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2017-12-17 12:39:00,252 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2017-12-17 12:39:00,252 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
